text,top_terms,sgrank_idf,sgrank
"Ce dispositif permet de lutter plus efficacement contre la récidive en matière de travail dissimulé. I. – À l'alinéa 14, substituer au taux : « 45 % » le taux : « 55 % ». II. – En conséquence, à l'alinéa 15, substituer au taux : « 60 % » le taux : « 70 % ».","taux
récidive
matière
conséquence
alinéa","taux
alinéa
travail dissimulé
substituer
II","taux
alinéa
II
conséquence
I."
"Cet amendement vise à étendre le dispositif des articles de l'article 81‑33 bis et 775 bis du code général des impôts pour les victimes de l'amiante aux victimes du valproate de sodium et de ses dérivés. Ainsi les indemnités nécessaires aux soins des victimes ne seraient pas soumises à l'impôt sur le revenu et sortiraient de l'assiette de base du calcul des successions. I. – Le code général des impôts est ainsi modifié : 1° Après le 33° bis de l'article 81, il est inséré un 33° ter ainsi : « 33° ter Les indemnités versées sous quelques formes que ce soit, aux victimes directes et indirectes des spécialités contenant du valproate de sodium et dérivés ou à leurs ayants droits par le fond d'indemnisation des victimes des spécialités contenant du valproate de sodium et dérivés en l'application des articles L1142‑24‑9 à L1142‑24‑18 du code de la santé publique ou par décision de justice. » 2° L'article 775 bis est complété par les mots : « , ainsi qu'aux victimes directes et indirectes de spécialités à base de valproate de sodium et dérivés entre ayants droits. » II. – La perte de recettes pour l'État est compensée à due concurrence par la création d'une taxe additionnelle aux droits mentionnés aux articles 575 et 575 A du code général des impôts.","victimes
sodium
valproate
spécialités
bis","code général
indemnités nécessaires aux soins
article 81‑33 bis
victimes
spécialités contenant","code général
indemnités nécessaires aux soins
article 81‑33 bis
victimes
impôts"
"La situation financière inquiétante des hôpitaux publics a pour corollaire l'insuffisance des investissements dans les établissements, qu'il s'agisse de l'entretien et de la rénovation des bâtiments ou du renouvellement des équipements médicaux. Cet amendement a donc pour but de garantir le financement de l'investissement au sein des établissements publics de santé, au niveau des territoires et propose de reverser à cette fin une partie des économies générées par les établissements publics de santé aux fonds régionaux d'investissement permettant ainsi de financer des projets d'investissement ciblés comme prioritaires. Le Gouvernement remet au Parlement, dans les six mois à compter de la promulgation de la présente loi, un rapport relatif à la création de fonds d'investissements financés par le versement d'une partie des économies générées par les établissements publics de santé.","investissement
investissements
établissements
économies
fonds","Gouvernement remet au Parlement
situation financière inquiétante
établissements publics
économies générées
hôpitaux publics","situation financière inquiétante
établissements publics
investissements
hôpitaux publics
fonds régionaux"
"Dans un contexte de surconsommation du médicament en France, après des décennies de sur-prescription qui posent désormais des problèmes de santé publique, on pense aux antibiotiques et aux anti-dépresseurs par exemple, il ne nous semble pas raisonnable de maintenir la publicité auprès du public comme la publicité auprès des professionnels. La prescription d'antidépresseurs questionne tout particulièrement l'usage de la publicité médicale. Dans son rapport « Charges et Produits » pour 2015, la CNAMTS déplorait qu' « ils ne soient pas toujours prescrits de façon efficiente du fait d'un diagnostic et/ou d'un suivi insuffisant. La question de la pertinence de la prescription est encore accentuée par les débats sur l'efficacité dans la prise en charge des dépressions légères et modérées. Des publications semblent en effet montrer que pour les dépressions les moins sévères, ces médicaments ne font pas mieux que le placebo. Alors pourquoi la prescription d'antibiotiques en France est elle 41% supérieure à la moyenne européenne, selon l'OCDE ? Parce que les industriels ont su orchestrer une véritable propagande auprès des professionnels de santé, au point de créer une culture de l'antidépresseur qui a marqué plusieurs générations. Le bon sens peut parfaitement saisir qu'un industriel ayant intérêt à la prescription de son produit va déployer toutes les stratégies possibles pour le présenter de façon subjective et avantageuse. Et les organismes de régulation ne sont pas du tout en capacité de pouvoir contrôler efficacement les modes de publicité, c'est illusoire d'affirmer cela. Seules des chartes ont été mises en place, avec des effets impossibles à évaluer. Supprimer la visite médicale est d'ailleurs une proposition de l'Inspection générale des affaires sociales (IGAS) après l'affaire du Médiator. Conformément à son rapport qui proposait ""une réforme d'envergure de la pharmacovigilance"", nous soutenons en contrepartie de la suppression des visiteurs médicaux la constitution d'un organisme d'information sur le médicament prise en charge par l'Assurance-maladie. Le Gouvernement remet au Parlement dans les six mois un rapport chiffrant le coût et les gains financiers de la mise en œuvre de l'interdiction de la visite médicale auprès des praticiens hospitaliers. Le rapport mesure en outre les effets directs et indirects d'une telle mesure sur l'équilibre des comptes de la sécurité sociale ainsi que ses effets positifs ou négatifs quant à la réalisation de l'objectif national des dépenses d'assurance maladie. Il permet l'information et le contrôle du Parlement sur l'application des lois de financement de la sécurité sociale.","publicité
prescription
dépressions
visite
effets","publicité
sécurité sociale
rapport
prescription
France","publicité
sécurité sociale
rapport
France
visite médicale"
"Le Gouvernement s'est engagé à améliorer l'accès aux soins de nos concitoyens en matière d'optique, de dentaire et d'audioprothèses. C'est l'enjeu du dispositif « 100 % santé ». Si ce dispositif va dans le bon sens, notamment à l'endroit des populations les plus démunies, elle risque néanmoins de provoquer en l'état, des difficultés d'application. En effet, cette réforme se traduira nécessairement par des modifications de garanties dont le contenu n'est pas encore connu. Dès lors, il importe de donner le temps nécessaire aux entreprises concernées de mettre en conformité les actes fondateurs des régimes collectifs de frais de santé (accord collectif, DUE, référendum), avec la nouvelle réglementation qui ne sera connue en toutes hypothèses, qu'au milieu de l'année 2019. Or le projet de loi de financement de la sécurité sociale de 2019 ne prévoit, à ce stade, aucun délai de mise en conformité : l'ensemble des contrats et actes fondateurs devront être modifiés dès le 1er janvier 2020, et ce a priori pour l'ensemble de la réforme « 100 % santé ». C'est pourquoi il pourrait être prévu une période transitoire pour la mise en conformité des régimes collectifs de frais de santé avec la réforme du « 100 % santé », sans perte du bénéfice des exonérations sociales. Tel est l'objet de cet amendement Compléter cet article par l'alinéa suivant : « IV. – Par dérogation aux dispositions prévues aux I et II du présent article, les contrats et les bulletins d'adhésion qui résultent d'une obligation déterminée par un des actes mentionnés à l'article L. 911‑1 du code de la sécurité sociale continuent d'ouvrir droit au bénéfice des dispositions mentionnées au premier alinéa de l'article L. 871‑1 du même code au plus tard jusqu'au 31 décembre 2021, dès lors qu'ils y ouvraient droit à la date de publication de présente loi. »","conformité
actes
réforme
santé
régimes","actes fondateurs
régimes collectifs
sécurité sociale
santé
réforme","régimes collectifs
actes fondateurs
sécurité sociale
accord collectif
nouvelle réglementation"
"En France, les femmes gagnent 24 % de moins que les hommes en moyenne. On estimait en 2017, qu'à partir du 3 novembre, en raison des inégalités salariales, les femmes travaillaient bénévolement jusqu'à la fin de l'année. Elles représentent 80 % des travailleur-euse-s pauvres et la course à la précarisation les touche de plein fouet. Malgré les lois successives en matière d'égalité professionnelle, les écarts en termes de salaire cessent de se réduire. Face à ce constat inadmissible, les auteurs de cet amendement proposent de supprimer les exonérations de cotisations sociales patronales aux entreprises ne respectant pas leurs obligations en matière d'égalité salariale. L'égalité salariale est non seulement nécessaire par principe. Mais elle améliorerait en plus les conditions de vie de nombreuses personnes et permettrait de renflouer les caisses de la Sécurité sociale gravement mises à mal par les mesures d'austérité et les mesures d'exonérations des gouvernements successifs. Parce qu'il faut en finir avec la culture patriarcale, la mesure que nous proposons, fortement dissuasive pour les entreprises ne respectant pas l'égalité salariale, permettrait des avancées décisives. Le VII de l'article L. 241‑13 du code de la sécurité sociale est rétabli dans la rédaction suivante : « VII. – La réduction est supprimée lorsque l'employeur n'a pas conclu d'accord ou de plan relatif à l'égalité professionnelle dans le cadre des obligations définies aux articles L. 2242‑1 et L. 2242‑3 du code du travail. Cette diminution de 100 % du montant de la réduction est cumulable avec la pénalité prévue à l'article L. 2242‑5‑1 du code du travail. »","égalité
femmes
VII
obligations
réduction","égalité salariale
égalité professionnelle
article L.
obligations
entreprises","égalité professionnelle
égalité salariale
définies aux articles L.
cotisations sociales patronales
obligations définies aux articles"
"Ce sous-amendement prend en compte le fait que le PLFSS sera promulgué avant la loi PACTE et qu'il n'est donc pas possible de faire référence à la loi PACTE dans le dispositif de l'amendement. Il propose donc de replacer le dispositif sur tout employeur concerné par l'obligation (OETH pour les entreprises de plus de 20 salariés) mentionnée à l'article L5212-1 du code du travail. Le 25 juillet dernier à l'Assemblée nationale, la Secrétaire d'État auprès du Premier ministre, chargée des personnes handicapées Sophie Cluzel s'est engagée dans un processus d'une meilleure prise en compte du handicap. Cette action passe évidemment par une meilleure inclusion des personnes handicapées dans le monde de l'entreprise. À l'heure où la définition de cette dernière va muter pour mieux prendre en compte les objets sociaux et environnementaux, il semble indispensable d'y inclure la lutte contre la discrimination fondée sur le handicap dans le monde du travail. Cette volonté d'action se fonde sur un constat mathématique simple : les personnes en situation de handicap sont deux fois plus touchées par le chômage que le reste de la population. En effet, être handicapé en France signifie avoir trois fois moins de chances d'être en emploi, deux fois plus de chances d'être au chômage et de subir une durée de recherche d'emploi supérieure d'au moins un an. Ainsi, la loi pour la croissance et la transformation des entreprises dite loi PACTE inscrit dans son article 61 ter la création d'un label pour les entreprises qui s'adaptent et se transforment pour accueillir en leur sein des travailleurs handicapés. Par la création de ce label, nous rappelons qu'un travailleur en situation de handicap n'est pas un poids mais une chance pour l'entreprise puisque cette situation favorise grandement l'entraide, l'esprit d'équipe, la cohésion, l'enrichissement personnel et l'innovation. De plus, le partage d'une oeuvre collective avec des personnes atteintes par un handicap permet de braver les préjugés et les idées reçues que notre société peine à effacer. Il est nécessaire, afin de couronner de succès ce label, d'y associer des mesures incitatives pour créer un effet signal qui ouvre une opportunité pour les entreprises, lesquelles pourront constater les effets et externalités positifs de l'accueil des personnes handicapées dans l'entreprise. Cet amendement vise ainsi à exonérer l'entreprise des cotisations qui s'appliquent à tous les travailleurs handicapés employés par elle à condition que leur proportion dépasse le seuil de 6 % de ses effectifs, et dans la limite des salaires inférieurs à un SMIC majoré de 80 %. I. – A l'alinéa 1, substituer aux mots : « les sociétés labellisées en application de l'article 61 ter de la loi n° du relative à la croissance et la transformation des entreprises » les mots : « tout employeur concerné par l'obligation d'emploi mentionnée à l'article L5212‑1 du code du travail ». II. – En conséquence, au même alinéa, substituer aux mots : « code du travail » les mots : « même code ».","handicap
label
PACTE
loi PACTE
entreprises","loi PACTE
personnes handicapées
employeur concerné
travailleurs handicapés
entreprises","loi PACTE
travailleurs handicapés
entreprises
compte
personnes"
"Le présent amendement vise à sanctuariser une partie des ressources du fonds d'intervention régional au financement des Communautés professionnelles territoriales de santé. Les Communautés professionnelles territoriales de santé (CPTS), créées par la loi du 26 janvier 2016, sont l'association de professionnels de santé du premier et du second recours, et d'acteurs sociaux et médico-sociaux, sur la base d'un projet de santé, pour une meilleure organisation des parcours des patients. Elles doivent aussi permettre d'améliorer l'exercice des professionnels de santé de ville. Depuis la création des CPTS par la loi en janvier 2016, le soutien public à leur émergence a été très modeste. La loi ne prévoit pas de texte d'application, et aucun texte n'a encadré ou soutenu le développement des CPTS, à l'exception d'une instruction peu précise et peu incitative en décembre 2016. Les Agences régionales de santé (ARS), à quelques exceptions près, se sont peu saisies du sujet et n'ont pas organisé de politiques actives de soutien à l'émergence des CPTS. Le soutien financier à l'exercice en CPTS est resté très modeste, que ce soit au niveau national (levier conventionnel) ou régional (fonds d'intervention régional). Le développement des CPTS a donc été très largement laissé à l'initiative des acteurs de terrain. Afin d'encourager leur déploiement, le présent amendement entend consacrer une partie des ressources du FIR, sans en augmenter le montant total, au financement des CPTS, comme le préconise le rapport le rapport IGAS d'août 2018 établi par Emilie FAUCHIER-MAGNAN et Véronique WALLON. L'article L. 1435‑9 du code de la santé publique est complété par un c ainsi rédigé : « c) Les crédits destinés au financement de la mise en place territoriale ambulatoire dite les communautés territoriales de santé telles que décrites à l'article L. 1434‑12 du code de la santé publique. »","CPTS
santé
Communautés professionnelles territoriales de santé
Communautés
soutien","Communautés professionnelles territoriales
présent amendement
intervention régional
santé
CPTS","Communautés professionnelles territoriales
présent amendement
intervention régional
santé
CPTS"
"Cet amendement propose ainsi d'adapter l'obligation vaccinale en tenant compte des spécificités des Outre-mer. En effet, ces territoires s'inscrivent dans un environnement géographique différent de celui de l'Hexagone. Pour la plupart soumis à un climat tropical, ces territoires sont en relation directe avec leurs voisins d'Amérique latine, d'Afrique ou d'Asie où la situation sanitaire, et notamment épidémiologique, n'est pas comparable à celle des voisins de l'Hexagone. Le Haut Conseil de Santé Publique, dans un avis du 31 juillet 2017 préalable à la définition de la Stratégie nationale de Santé publique, note par ailleurs dès la page 3 de son avis “le cas particulier des régions ultramarines” du fait de leurs caractéristiques sociodémographiques et sanitaires. Il existe déjà des adaptations de la couverture vaccinale française en fonction des territoires : il est, par exemple, obligatoire de procéder à la vaccination contre la « fièvre jaune » avant d'entrer en Guyane. De même, la vaccination est obligatoire pour les voyageurs de plus de 1 an en provenance ou ayant transité par une zone infectée par la fièvre jaune pour les régions de la Guadeloupe, la Martinique, La Réunion, Saint-Barthélemy et Saint-Martin (arrêté du 9 septembre 1987 fixant la réglementation applicable au contrôle sanitaire aux frontières en matière de certificats internationaux de vaccination). Le décret du 28 novembre 2016 prévoit que la Stratégie Nationale de Santé « comporte un volet propre à la Corse, à chaque collectivité d'Outre-mer régie par l'article 73 de la Constitution et à celles de Saint-Barthélemy, de Saint-Martin et de Saint-Pierre-et-Miquelon prenant notamment en compte les données épidémiologiques et les risques sanitaires spécifiques de la collectivité. » (Article R1411‑7 du Code de santé publique). Ces plans propres à chaque collectivité “seront élaborés en concertation avec la collectivité et l'agence régionale de santé compétente” (article R1411‑8) et “la consultation prévue (pour l'adoption de la stratégie nationale de santé) est adaptée aux caractéristiques et à la situation sanitaire de chaque collectivité”. Enfin, “lors de l'élaboration et de l'évaluation de la stratégie nationale de santé, sont prises en compte les actions de coopération régionale organisées par des acteurs des secteurs sanitaire et médico-social, avec chacune des collectivités.” La discussion des Plans Régionaux de Santé serait ainsi le cadre approprié pour que chaque territoire définisse ses besoins en matière de couverture vaccinale. Sans préempter les discussions qui auront lieu dans le cadre de la définition des Plans Régionaux de Santé, il peut être utile de rappeler que l'institut Pasteur de Lille estime ainsi que l'île de La Réunion comporte par exemple un risque d'hépatite A (infection virale transmise par l'eau et les aliments contaminés) et recommande la vaccination pour les voyageurs effectuant un séjour dans des conditions d'hygiène précaire. Le même constat vaut pour Mayotte. De même, à La Réunion, la typhoïde (également transmise par l'eau et les aliments contaminés) constitue un risque sanitaire et la vaccination est recommandée. Comme pour les vaccins obligatoires sur l'ensemble du territoire national, ces vaccins seront pris en charge par l'Assurance Maladie dans les conditions de droit commun. I. – Le premier alinéa du I de l'article L. 3111‑2 du code de la santé publique est ainsi rédigé : « I. – Les vaccinations suivantes et, dans les départements d'outre-mer, les vaccinations définies par les plans régionaux de santé et confirmées par l'arrêté du ministre chargé de la santé, sont obligatoires, sauf contre-indication médicale reconnue, dans des conditions d'âge déterminées par décret en Conseil d'État, pris après avis de la Haute Autorité de santé : ». II. – La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par la majoration des droits mentionnés aux articles 575 et 575 A du code général des impôts.","vaccination
collectivité
Santé
Réunion
Plans","situation sanitaire
fièvre jaune
couverture vaccinale
santé publique
stratégie nationale","situation sanitaire
fièvre jaune
couverture vaccinale
stratégie nationale
santé publique"
"Alors que l'article L161‑25 du Code de la Sécurité sociale prévoit l'indexation de l'augmentation des montant des prestations et plafonds de ressources sur l'évolution de la moyenne annuelle des prix à la consommation, l'article 44 du PLFSS pour 2019 prévoit que certains d'entre eux ne soient revalorisés que de 0,3 %. Le niveau de vie des familles n'a cessé de se dégrader. Les familles (aisées, moyennes et modestes) ont subi des ponctions massives et sans précédent depuis 2012 : plus de 4 milliards d'€ d'économies brutes annuelles (modulation des allocations familiales, baisse du plafond du quotient familial, multiples réductions sur la Prestation d'accueil du jeune enfant, etc). Malgré 1 milliard d'euros redistribué par le biais de la revalorisation de prestations sous conditions de ressources, la CNAF dénombrait, en décembre 2016, 3,2 millions de familles avec enfant(s) voyant leur revenu disponible diminuer, dont 60 % sont issus des catégories moyennes et pauvres. Et encore cette étude ne comprenait-elle pas la perte d'indemnisation liée au partage obligatoire du congé parental, ni, par définition, les nouvelles mesures de réductions prises pour 2018 (baisse du montant et du plafond de l'Allocation de base de la PAJE). La Cour des Comptes reconnaît que si les familles du premier quintile ont globalement bénéficié d'une amélioration de leur niveau de vie, en revanche, les familles des quatre quintiles suivants ont connu une baisse, et « Pour le dernier quintile, la réduction du niveau de vie atteint en moyenne 2,9 % pour les familles ayant un enfant et 4 % pour celles ayant deux enfants et plus. » La Cour note par ailleurs que certaines familles ont pu perdre jusqu'à 9 500 € par an, et qu' « à niveau de vie équivalent, les réformes induisent des « pertes » beaucoup plus élevées pour les familles nombreuses que pour les autres. » À l'alinéa 1, substituer aux mots : « et plafonds de ressources relevant de cet article sont revalorisés » les mots : « relevant de cet article est revalorisé ».","familles
vie
quintile
niveau
ressources","familles
article
ressources
montant
niveau","économies brutes annuelles
article
familles
ressources
vie"
"L'article L. 531‑2 du code de la santé publique dispose qu'une prime à la naissance est allouée pour chaque enfant à naître, avant la naissance de l'enfant. Il renvoie à un décret pour déterminer les modalités de versement de la prime. Or, ce décret publié au JO le 30 décembre 2014 dispose que la prime doit être versée aux familles avant la fin du dernier jour du second mois civil suivant la naissance ou la justification de la fin de la grossesse. Le décret est totalement en contradiction avec l'esprit de la loi. Cette prime a pour objet de permettre aux familles les moins aisées de faire face aux dépenses liées à l'arrivée d'un nouvel enfant dans le foyer. Elle est d'autant plus essentielle pour les couples accédant à la parentalité pour la première fois, qu'ils doivent s'équiper entièrement. Tout d'abord, les foyers modestes se retrouvent pénalisés. Cette prime était une bouffée d'oxygène pour nombre d'entre eux pour préparer dans les meilleures conditions l'arrivée de l'enfant. Ensuite, ce décalage de la prime à la naissance envoie un message négatif supplémentaire en direction des familles, après la modulation des allocations familiales selon les revenus et alors que la natalité dans notre pays diminue tous les ans. L'objectif de cette prime n'est plus rempli. Il est nécessaire qu'elle soit versée deux mois avant l'arrivée de l'enfant. À la première phrase du premier alinéa de l'article L. 531‑2 du code de la sécurité sociale, après le mot : « attribuée », sont insérés les mots : « et versée ».","prime
enfant
naissance
arrivée
familles","article L.
publique dispose
santé publique
décret publié
mois civil","article L.
santé publique
prime
message négatif supplémentaire
second mois civil"
"Le code de la sécurité sociale prévoit différents cas de majoration du complément de libre choix du mode de garde (CMG) et notamment lorsqu'un des parents bénéficie de l'allocation aux adultes handicapés (AAH). Toutefois, le fait que l'un des parents bénéficie d'une pension d'invalidité n'est pas un des cas prévus de majoration du CMG, alors que l'attribution d'une pension d'invalidité signe aussi la reconnaissance d'un handicap au sens de la loi du 2005‑102. Cet amendement vise à combler cette lacune pour rendre équitable le principe de majoration du CMG pour ces deux types de situations familiales, aujourd'hui traitées différemment alors qu'elles présentent des difficultés similaires du point de vue du handicap. I. – Après l'alinéa 3, insérer les deux alinéas suivants : « a bis) Le 2° du III est ainsi rédigé : « 2° Lorsque la personne seule ou l'un des membres du couple bénéficie des prestations instituées aux articles L. 341‑1, L. 821‑1 et L. 821‑2 du présent Code ; » II. – En conséquence, substituer aux alinéas 6 et 7 les cinq alinéas suivants : « 2° L'article L. 531‑6 est ainsi modifié : « a) Le 2° est ainsi rédigé : « 2° Lorsque la personne seule ou l'un des membres du couple bénéficie des prestations instituées aux articles L. 341‑1, L. 821‑1 et L. 821‑2 du présent Code ; » « b) Après le 3°, il est inséré un 4° ainsi rédigé : « 4° Lorsque le ménage ou la personne seule bénéficie au titre d'un enfant de la prestation prévues à l'article L. 541‑1. » III. – En conséquence, après l'alinéa 8, insérer les deux alinéas suivants : « 1° A Le 2° du b est ainsi rédigé : « 2° Lorsque la personne seule ou l'un des membres du couple bénéficie des prestations instituées aux articles L. 341‑1, L. 821‑1 et L. 821‑2 ; » IV. – Compléter cet article par l'alinéa suivant : « IV.– La perte de recettes pour les organismes de sécurité sociale est compensée à due concurrence par l'augmentation du prélèvement mentionné à l'article L. 137‑19 du Code de la sécurité sociale.","L.
Lorsque
L. 341‑1
L. 821‑2
couple","sécurité sociale
parents bénéficie
articles L.
L. 821‑1
prestations instituées","sécurité sociale prévoit différents cas
sécurité sociale
parents bénéficie
allocation aux adultes
L. 821‑1"
"Cet amendement propose de se mettre en conformité avec la stratégie de « Ma santé 2022 », qui entend « mettre le patient au centre du système de santé » et part du postulat que « favoriser la qualité, (…) c'est prendre davantage en compte son vécu et ses retours d'expérience ». Il prévoit ainsi d'inscrire dans le code de la sécurité sociale, l'obligation de prendre en compte la dimension expérientielle du patient.  Après l'alinéa 5, insérer l'alinéa suivant : « d) Est ajoutée une phrase ainsi rédigée : « Ces indicateurs prennent en compte les résultats et les expériences rapportés par les patients. »","compte
patient
Après l'alinéa 5
postulat
conformité","expériences rapportés
dimension expérientielle
amendement propose
indicateurs prennent
sécurité sociale","compte
patient
expériences rapportés
sécurité sociale
santé"
"Il est nécessaire de maintenir le dispositif d'exonérations de charges sur salaires des travailleurs saisonniers. La compensation proposée dans le cadre du projet d'allègement des charges généralisé n'est pas suffisant pour les exploitations agricoles. En l'état, la suppression proposée risque d'engendrer un surcoût de 180 € par mois et par salarié occasionnel à temps plein. Cette exception agricole permet aux filières spécialisées de faire face à la concurrence européenne ; la supprimer porte fortement préjudice aux exploitations. Supprimer l'alinéa 28.","exploitations
charges
préjudice
travailleurs saisonniers
surcoût","suppression proposée risque
exploitations agricoles
charges généralisé
compensation proposée
travailleurs saisonniers","concurrence européenne
exception agricole
exploitations agricoles
salarié occasionnel
charges généralisé"
"L'article 80 de la loi n° 2016‑1827 du 23 décembre 2016 de financement de la sécurité sociale pour 2017 a introduit un nouvel article L. 162‑21‑2 dans le Code de la sécurité sociale, est une réforme radicale du financement des transports inter-établissements, qui entre en vigueur le 1er octobre 2018, n'a pas été suffisamment anticipée en amont et crée des inégalités importantes entre les établissements concernés. En effet, que l'établissement se trouve dans un territoire fortement doté en infrastructures hospitalières (de sorte que les trajets inter-hospitaliers seront courts) ou moins bien doté, le coût représenté par cette réforme sera très différent. Par ailleurs, le coût précis de cette réforme pour chaque établissement demeure encore aujourd'hui inconnu. Car, selon leur régime financier, leurs tarifs de prestation ou leur dotation annuelle ne comportent pas le montant représenté par les transports inter-établissements qu'ils sont censé assumés désormais. C'est pourquoi cet amendement tend à prévoir, d'une part, que ce montant figure expressément dans les arrêtés relatifs aux dotations et tarifs de tous les établissements de santé et, d'autre part, qu'une évaluation du dispositif permette de revoir les tarifs calculés en 2018, et de prendre en compte des facteurs d'augmentation des coûts des transports (activités isolées, activités de recours). I. – Après la première phrase de l'article L. 162‑21‑2 du code de la sécurité sociale, il est inséré une phrase ainsi rédigée : « La publication ou la notification annuelles de ces tarifs et dotations aux établissements de santé fait apparaître la part représentée dans leur montant par le financement des transports susmentionnés. » II – L'article 80 de la loi n° 2016‑1827 du 23 décembre 2016 de financement de la sécurité sociale pour 2017 est complété par un III ainsi rédigé : « III. – Avant le 1er février 2019, le Gouvernement procède à l'évaluation de l'impact financier pour les établissements de santé issu de l'application de l'article L. 162‑21‑2 du code de la sécurité sociale afin de permettre, le cas échéant, l'ajustement des tarifs, des prix de journées et des dotations ; la prise en compte des activités isolées ; la prise en compte des activités de recours. Cette évaluation est transmise au Parlement. »","transports
L. 162‑21‑2
activités
tarifs
dotations","sécurité sociale
article L.
transports inter-établissements
financement
article","sécurité sociale
transports inter-établissements
dotations aux établissements
nouvel article L.
article L."
"Cet amendement précise, en complétant le VII de l'article L 241‑13 du code de la sécurité sociale, les modalités d'imputation du montant des allègements généraux sur les cotisations sociales dues, pour tenir compte des cas où ces cotisations ne sont pas recouvrées, ou pas uniquement, par les URSSAF ou par l'AGIRC-ARRCO. Au-delà du cas des intermittents du spectacle déjà pris en compte dans l'article initial, l'amendement ajoute le cas des travailleurs expatriés dont les cotisations d'assurance chômage sont recouvrées par Pôle Emploi, ainsi que celui des entrepreneurs de spectacles vivants, dont les cotisations sont recouvrées par le guichet unique du spectacle occasionnel (GUSO). Enfin, l'amendement précise que les exonérations qui demeurent en place sont bien compensées pour l'ensemble des affectataires dont les ressources sont imputées. Au début de l'alinéa 20, après le mot : « Pour », insérer les mots : « les expatriés mentionnés au a et ».","spectacle
cotisations
cas
expatriés
GUSO","amendement précise
cotisations sociales dues
article L
sécurité sociale
allègements généraux","cotisations sociales dues
amendement
allègements généraux
sécurité sociale
spectacle occasionnel"
"Cette mesure vise à optimiser le parcours de soins en structurant sur le territoire une offre de consultation d'orientation et de suivi des patients atteints de maladies chroniques, afin de leur éviter toute perte de chance et toute rupture dans leur parcours. Ce type de consultation ne peut s'envisager qu'au travers de l'implication de plusieurs professionnels du secteur sanitaire (médicaux et paramédicaux) et du secteur médico-social. Elle apporte notamment une solution concrète d'accès aux soins dans les territoires sous-dotés, confrontés aux difficultés de démographie médicale et s'effectueront sans dépassement d'honoraires. Elle constitue également une étape dans l'éducation thérapeutique du patient, l'information et le contrôle des facteurs de risque de ces personnes atteintes de pathologies chroniques. Il s'agit en pratique : – d'évaluer la maladie, de développer une politique de prévention, de réaliser un bilan pronostic fonctionnel, – d'adapter le suivi de chaque patient à sa situation en l'orientant s'il y a lieu vers les professionnels et les structures adéquats, de contribuer à sa réinsertion sociale et socioprofessionnelle ; – de produire des indicateurs relatifs à l'état de santé des patients Elle s'inscrit pleinement dans la prévention prônée par le Plan « ma santé 2022 » et consacrée dans le rapport de juillet 2018 du Haut Conseil de Santé publique intitulé « place des offreurs de soins dans la prévention ». Elle repose sur une organisation des filières de prise en charge de ces patients en renforçant la coordination ville/hôpital et la promotion de la prise en charge pluri-professionnelle de proximité. Elle serait financièrement source d'économies pour les pouvoirs publics car ce type de consultations pluridisciplinaires permet d'assurer une bonne orientation des patients, de leur suivi et d'éviter ainsi les re-hospitalisations couteuses et inutiles. L'article L.162-27 du code de la sécurité sociale est ainsi rétabli : « Art. L.162-27. – À compter du 1er janvier 2019, les consultations pluridisciplinaires d'un établissement visé au a, b, c et d de l'article L. 162‑22‑6 du code de la sécurité sociale, sont prises en charge par les régimes obligatoires d'assurance maladie. »","Elle
L.162
prévention
patients
orientation","soins
patients
suivi
consultations pluridisciplinaires
chroniques","soins
patients
consultations pluridisciplinaires
orientation
sécurité sociale"
"La nouvelle convention médicale conclue en 2016 se traduit par des augmentations importantes des charges. Cette évolution est en cohérence avec le virage ambulatoire annoncé, mais il reste à s'assurer que ces dépenses nouvelles auront des effets restructurants réels, réorganisateurs, limitant véritablement les hospitalisations évitables, et ne se cantonnant pas à de simples mais très coûteux effets revenus additionnels. De ce point de vue, il manque encore un dispositif prudentiel sur la médecine de ville, à la hauteur de la sur-exécution de l'ONDAM 2016, de 2017, de 2018 déjà annoncée et par construction à prévoir pour 2019. Pour autant, il n'y a pas lieux que les efforts qui ne sont pas demandés à la médecine de ville soient consentis en totalité par les établissements de santé publics, privés non lucratifs et privés de statut commercial : qui se verraient privés ainsi complètement d'une possibilité de percevoir une part des crédits mis en réserve en début d'année 2018dont les tarifs se verront diminuer en fonction du débasage appliqué en 2018 et en 2019 Ce sont les raisons pour lesquels la présente proposition d'amendement conjointe propose un rééquilibrage de l'article 53 (comme de l'article 6), pour un partage plus équilibré de l'effort. Rédiger ainsi la seconde colonne de l'alinéa 2 : «  Objectif de dépenses 90,9 82,9 9,5 11,4 3,6 2 200,3  ».","ville
médecine
effets
dépenses
effets restructurants","santé publics
dispositif prudentiel
revenus additionnels
effets revenus
hospitalisations évitables","effets restructurants réels
nouvelle convention médicale
dispositif prudentiel
coûteux effets
dépenses nouvelles"
